size,total_sqft,bath,price,site_location,bhk,price_per_sqft
2 BHK,1056.0,2.0,39.07,Alandi Road,2,3699.810606060606
4 Bedroom,2600.0,5.0,120.0,Ambegaon Budruk,4,4615.384615384615
3 BHK,1440.0,2.0,62.0,Anandnagar,3,4305.555555555556
3 BHK,1521.0,3.0,95.0,Aundh,3,6245.890861275477
2 BHK,1200.0,2.0,51.0,Aundh Road,2,4250.0
2 BHK,1170.0,2.0,38.0,Balaji Nagar,2,3247.863247863248
4 BHK,2732.0,4.0,204.0,Baner,4,7467.0571010248905
4 BHK,3300.0,4.0,600.0,Baner road,4,18181.81818181818
3 BHK,1310.0,3.0,63.25,Bhandarkar Road,3,4828.244274809161
6 Bedroom,1020.0,6.0,370.0,Bhavani Peth,6,36274.509803921566
3 BHK,1800.0,2.0,70.0,Bibvewadi,3,3888.8888888888887
4 Bedroom,2785.0,5.0,295.0,Bopodi,4,10592.45960502693
2 BHK,1000.0,2.0,38.0,Budhwar Peth,2,3800.0
2 BHK,1100.0,2.0,40.0,Bund Garden Road,2,3636.3636363636365
3 Bedroom,2250.0,3.0,148.0,Camp,3,6577.777777777777
2 BHK,1175.0,2.0,73.5,Chandan Nagar,2,6255.31914893617
3 BHK,1180.0,3.0,48.0,Dapodi,3,4067.7966101694915
3 BHK,1540.0,3.0,60.0,Deccan Gymkhana,3,3896.103896103896
3 BHK,2770.0,4.0,290.0,Dehu Road,3,10469.314079422382
2 BHK,1100.0,2.0,48.0,Dhankawadi,2,4363.636363636364
1 BHK,600.0,1.0,15.0,Dhayari Phata,1,2500.0
3 BHK,1755.0,3.0,122.0,Dhole Patil Road,3,6951.5669515669515
4 Bedroom,2800.0,5.0,380.0,Erandwane,4,13571.42857142857
3 BHK,1767.0,3.0,103.0,Fatima Nagar,3,5829.088851160159
1 RK,510.0,1.0,25.25,Fergusson College Road,1,4950.980392156863
3 BHK,1250.0,3.0,56.0,Ganesh Peth,3,4480.0
2 BHK,660.0,1.0,23.1,Ganeshkhind,2,3500.0
3 BHK,1610.0,3.0,81.0,Ghorpade Peth,3,5031.055900621118
2 BHK,1151.0,2.0,48.77,other,2,4237.185056472633
3 BHK,1025.0,2.0,47.0,Gokhale Nagar,3,4585.365853658536
4 BHK,2475.0,4.0,186.0,Gultekdi,4,7515.151515151515
3 BHK,1075.0,2.0,35.0,Guruwar peth,3,3255.813953488372
3 BHK,1760.0,2.0,123.0,Hadapsar,3,6988.636363636364
3 BHK,1693.0,3.0,57.39,Hadapsar Industrial Estate,3,3389.84051978736
3 BHK,1925.0,3.0,125.0,Hingne Khurd,3,6493.506493506494
2 BHK,700.0,2.0,36.0,Jangali Maharaj Road,2,5142.857142857143
2 BHK,1070.0,2.0,45.5,Kalyani Nagar,2,4252.336448598131
3 BHK,1724.0,3.0,125.0,Karve Nagar,3,7250.580046403712
3 BHK,1290.0,2.0,56.12,Karve Road,3,4350.387596899225
2 BHK,1143.0,2.0,45.0,Kasba Peth,2,3937.0078740157483
2 BHK,1296.0,2.0,81.0,Katraj,2,6250.0
3 BHK,1254.0,3.0,38.0,Khadaki,3,3030.3030303030305
1 BHK,600.0,1.0,38.0,Khadki,1,6333.333333333333
1 Bedroom,660.0,1.0,48.0,Kharadi,1,7272.727272727273
2 BHK,1330.74,2.0,91.79,Kondhwa,2,6897.665960292769
8 Bedroom,600.0,9.0,200.0,Kondhwa Budruk,8,33333.333333333336
2 BHK,970.0,2.0,33.0,Kondhwa Khurd,2,3402.061855670103
2 BHK,1459.0,2.0,94.82,Koregaon Park,2,6498.971898560658
2 Bedroom,800.0,1.0,130.0,Kothrud,2,16250.0
2 BHK,869.0,2.0,36.0,Law College Road,2,4142.692750287687
2 BHK,1270.0,2.0,50.0,Laxmi Road,2,3937.0078740157483
3 BHK,1670.0,3.0,99.0,Lulla Nagar,3,5928.143712574851
3 BHK,2010.0,3.0,91.0,Mahatma Gandhi Road,3,4527.363184079602
2 BHK,1185.0,2.0,75.0,Mangalwar peth,2,6329.113924050633
3 BHK,1600.0,2.0,75.0,Manik Bagh,3,4687.5
2 BHK,1200.0,2.0,44.0,Market yard,2,3666.6666666666665
2 BHK,1500.0,2.0,185.0,Mukund Nagar,2,12333.333333333334
6 Bedroom,1407.0,4.0,150.0,Mundhawa,6,10660.980810234541
2 BHK,840.0,2.0,45.0,Nagar Road,2,5357.142857142857
3 Bedroom,4395.0,3.0,240.0,Nana Peth,3,5460.750853242321
2 BHK,845.0,2.0,55.0,Narayan Peth,2,6508.87573964497
4 Bedroom,5700.0,5.0,650.0,Narayangaon,4,11403.508771929824
2 BHK,1160.0,2.0,44.0,Navi Peth,2,3793.103448275862
8 Bedroom,3000.0,8.0,140.0,Padmavati,8,4666.666666666667
2 BHK,1100.0,2.0,62.0,Parvati Darshan,2,5636.363636363636
2 BHK,1140.0,2.0,43.0,Pashan,2,3771.9298245614036
2 BHK,1220.0,2.0,57.0,Paud Road,2,4672.131147540984
8 Bedroom,1350.0,7.0,85.0,Pirangut,8,6296.2962962962965
2 BHK,1005.0,2.0,36.68,Prabhat Road,2,3649.7512437810947
3 Bedroom,500.0,3.0,100.0,Pune Railway Station,3,20000.0
2 BHK,1358.0,2.0,80.58,Rasta Peth,2,5933.726067746687
3 BHK,1569.0,3.0,101.0,Raviwar Peth,3,6437.221159974506
2 BHK,1240.0,2.0,70.0,Sadashiv Peth,2,5645.1612903225805
3 BHK,2089.0,3.0,140.0,Sahakar Nagar,3,6701.771182383915
2 BHK,1206.0,2.0,48.23,Salunke Vihar,2,3999.1708126036483
2 BHK,1150.0,2.0,40.0,Sasson Road,2,3478.2608695652175
3 BHK,2511.0,3.0,205.0,Satara Road,3,8164.078056551175
2 BHK,460.0,1.0,22.0,Senapati Bapat Road,2,4782.608695652174
6 Bedroom,4400.0,6.0,250.0,Shaniwar Peth,6,5681.818181818182
3 BHK,1660.0,2.0,105.0,Shivaji Nagar,3,6325.301204819277
2 BHK,1326.0,2.0,78.0,Sinhagad Road,2,5882.35294117647
3 BHK,1325.0,2.0,60.8,Somwar Peth,3,4588.679245283019
3 BHK,1499.0,5.0,102.0,Swargate,3,6804.536357571715
6 Bedroom,3000.0,7.0,210.0,Tilak Road,6,7000.0
3 BHK,1665.0,3.0,88.0,Uruli Devachi,3,5285.285285285286
2 BHK,708.0,2.0,37.0,Vadgaon Budruk,2,5225.988700564972
2 BHK,1060.0,2.0,58.06,Wadgaon Sheri,2,5477.358490566037
6 Bedroom,710.0,6.0,160.0,Viman Nagar,6,22535.211267605635
2 BHK,1000.0,2.0,70.0,Vishrant Wadi,2,7000.0
2 BHK,1000.0,2.0,28.88,Wagholi,2,2888.0
3 BHK,1450.0,2.0,70.0,Wakadewadi,3,4827.586206896552
4 Bedroom,1200.0,4.0,155.0,Wanowrie,4,12916.666666666666
2 BHK,1296.0,2.0,80.0,Warje,2,6172.83950617284
3 BHK,1540.0,3.0,90.0,Yerawada,3,5844.1558441558445
